// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

// Wedding Related items
673,493,100	// Copper_Coin
1585,461,100	// Upg_Book
2015,461,100	// Upg_Staff
2149,461,100	// Upg_Guard
2150,461,100	// Upg_Buckler
2151,461,100	// Upg_Shield
2459,461,100	// Upg_Shoes
2460,461,100	// Upg_Boots
2461,461,100	// Upg_Greave
2561,461,100	// Upg_Hood
2562,461,100	// Upg_Muffler
2563,461,100	// Upg_Manteau
2573,461,100	// Archangel_Wing
2634,507,100	// Bridegroom_Ring
2635,507,100	// Bride_Ring

// "2005 The Sign" related items
2828,461,100	// Upg_Clip
5182,453,100	// Puppy_Hat
5211,461,100	// Dress_Hat
6290,453,100	// Color_Style_Coupon
7040,511,100	// Megaphone
7177,507,100	// Crumb of Sobbing Starlight
7178,507,100	// Sobbing Starlight
7304,507,100	// Witch's Spell Scroll
7305,507,100	// Symbol of the Nine Realms
7306,507,100	// Piece of Spirit
7307,507,100	// Spiritual Whispers
7308,507,100	// Witch's Tonic
7309,507,100	// Crow Wing
2642,507,100	// Serin's_Gold_Ring
2644,507,100	// The_Sign_
7314,507,100	// The Sign
7025,475,100	// Lucifer's Lament

// "2nd Anniversary Event" items
// "Eye of Hellion" items
2647,507,100	// Nile_Rose
7332,507,100	// Complete Tablet
7333,507,100	// Prontera Tablet
7334,507,100	// Payon Tablet
7335,507,100	// Morroc Tablet
7336,507,100	// Geffen Tablet
7339,507,100	// Commemorative Travel Card
5132,472,100	// Angeling_Hat

// "Main Quest"/"Danilion's Request" items
7416,475,100	// Letter of Recommendation
7417,475,100	// Written Request(A)
7418,475,100	// Written Request(B)

// PVP Item
7420,498,100	// Skull

// 10.3 Quest items
// * "Gaebolg family Curse" items
7431,499,100	// Pile of Books
7432,507,100	// Leather Pouch
// * "Thanatos Tower" items
7421,499,100	// Red Key
7422,499,100	// Yellow Key
7423,499,100	// Blue Key
7424,499,100	// Green Key
7425,499,100	// Black Key
7426,499,100	// Red Charm Stone
7427,499,100	// Yellow Charm Stone
7428,499,100	// Blue Charm Stone
7429,499,100	// Green Charm Stone
7430,499,100	// Black Charm Stone

// Chinese New Year
7484,507,100	// Symbol of a Brave Warrior
7485,507,100	// Cloud General
7486,507,100	// Wind General

// "Kiel Hyre's Cottage" Quest related items
7487,507,100	// Culinary Wine
7488,507,100	// Delivery Package
7489,507,100	// Cottage Key
7490,507,100	// Letter to Elly
7491,507,100	// Steel Box
7492,507,100	// Yellow Keycard
7493,507,100	// Golden Key
7494,507,100	// Luxurious Button
7495,507,100	// Blue Keycard
7496,507,100	// Red Keycard
